========================================================================
  APPROACH A — Rules-Only Baseline Evaluation
  (no schema normalization, no inline validation guardrail)
  Run: 2026-05-01T15:07:16.475904
========================================================================

Dataset : 97 configs (72 Cisco, 25 Arista, 0 LLM)
Errors  : 0 pipeline errors

VALIDITY RATES (post-hoc, over all configs):
  Schema valid   : 100.0%  (97/97)
  Semantic valid : 52.6%  (51/97)
  YAML generated : 100.0%  (97/97)

LATENCY: mean=0.037s  median=0.032s  stdev=0.018s  min=0.013s  max=0.102s

BY DEPLOYMENT GROUP:
  access-nac              n= 8  schema=100.0%  semantic=75.0%  lat=0.049s
  arista-distribution     n=24  schema=100.0%  semantic=8.3%  lat=0.022s
  building-simple         n= 1  schema=100.0%  semantic=0.0%  lat=0.034s
  distribution            n= 6  schema=100.0%  semantic=100.0%  lat=0.023s
  oob-server              n=29  schema=100.0%  semantic=51.7%  lat=0.033s
  other                   n=24  schema=100.0%  semantic=70.8%  lat=0.058s
  remote-edge             n= 5  schema=100.0%  semantic=100.0%  lat=0.025s

SEMANTIC RULE VIOLATIONS (post-hoc, rules 101-120):
  Rule 119: 1 config(s) affected
  Rule 121: 38 config(s) affected
  Rule 122: 8 config(s) affected

PER-CONFIG DETAIL:
  File                                  Grp                    Lat(s)   Sch   Sem  YAML  Rules
  DIST-SW-BLDGA-01.txt                  distribution            0.037    OK    OK   YES  -
  DIST-SW-BLDGB-01.txt                  distribution            0.024    OK    OK   YES  -
  DIST-SW-BLDGC-01.txt                  distribution            0.019    OK    OK   YES  -
  DIST-SW-BLDGD-01.txt                  distribution            0.020    OK    OK   YES  -
  DIST-SW-BLDGE-01.txt                  distribution            0.020    OK    OK   YES  -
  DIST-SW-BLDGF-01.txt                  distribution            0.019    OK    OK   YES  -
  EDGE-SW-REMOTE-01.txt                 remote-edge             0.025    OK    OK   YES  -
  EDGE-SW-REMOTE-02.txt                 remote-edge             0.028    OK    OK   YES  -
  EDGE-SW-REMOTE-03.txt                 remote-edge             0.023    OK    OK   YES  -
  EDGE-SW-REMOTE-04.txt                 remote-edge             0.023    OK    OK   YES  -
  EDGE-SW-REMOTE-05.txt                 remote-edge             0.023    OK    OK   YES  -
  CAMPUS-ACCESS-SW03.txt                arista-distribution     0.022    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW04.txt                arista-distribution     0.018    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW05.txt                arista-distribution     0.018    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW06.txt                arista-distribution     0.019    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW07.txt                arista-distribution     0.026    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW08.txt                arista-distribution     0.025    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW09.txt                arista-distribution     0.019    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW10.txt                arista-distribution     0.020    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW11.txt                arista-distribution     0.019    OK  FAIL   YES  121
  CAMPUS-ACCESS-SW12.txt                arista-distribution     0.026    OK  FAIL   YES  121
  CAMPUS-DIST-SW01-original.txt         arista-distribution     0.055    OK  FAIL   YES  121
  CAMPUS-DIST-SW01.txt                  arista-distribution     0.020    OK  FAIL   YES  121
  CAMPUS-DIST-SW02.txt                  arista-distribution     0.020    OK  FAIL   YES  121
  CAMPUS-DIST-SW03.txt                  arista-distribution     0.022    OK  FAIL   YES  121
  CAMPUS-DIST-SW04.txt                  arista-distribution     0.022    OK  FAIL   YES  121
  CAMPUS-DIST-SW05.txt                  arista-distribution     0.021    OK  FAIL   YES  121
  CAMPUS-DIST-SW06.txt                  arista-distribution     0.021    OK  FAIL   YES  121
  CAMPUS-DIST-SW07.txt                  arista-distribution     0.021    OK  FAIL   YES  121
  CAMPUS-DIST-SW08.txt                  arista-distribution     0.023    OK  FAIL   YES  121
  CAMPUS-DIST-SW09.txt                  arista-distribution     0.021    OK  FAIL   YES  121
  CAMPUS-SPINE-SW01.txt                 arista-distribution     0.013    OK  FAIL   YES  121
  CAMPUS-SPINE-SW02.txt                 arista-distribution     0.013    OK  FAIL   YES  121
  DATACTR-OOBSW-AR01.txt                oob-server              0.026    OK  FAIL   YES  121
  DATACTR-OOBSW-AR02.txt                oob-server              0.025    OK  FAIL   YES  121
  DATACTR-SPINE-SW01.txt                oob-server              0.014    OK  FAIL   YES  121

========================================================================
